9.48,5.68
5.65,3.73
10.36,6.15
13.24,8.84
7.52,3.43
5.01,3.43
12.83,9.01
9.48,6.52
2.93,2.71
9.61,5.82
5.54,2.73
5.14,2.72
7.62,4.90
-2.78,-1.73
-0.53,-1.15
4.24,2.42
1.75,1.04
8.02,5.12
3.97,1.36
4.18,-0.19
13.12,8.66
6.48,3.46
7.16,4.36
-1.58,-0.23
4.78,2.48
7.53,4.50
6.09,0.61
8.21,5.31
5.05,2.31
5.78,3.26
2.84,2.30
16.12,9.85
8.07,4.11
3.96,0.90
8.93,6.68
4.22,0.40
5.73,4.80
0.04,-1.88
4.97,0.07
6.30,4.76
9.10,6.43
7.83,4.68
5.78,3.80
3.47,3.23
1.19,-0.40
2.53,1.94
5.87,2.74
9.85,7.41
10.70,5.21
-1.23,-1.27
7.81,5.15
6.68,2.97
2.45,2.07
9.79,6.04
13.08,7.33
8.31,7.02
3.92,1.57
6.15,3.20
9.50,5.17
9.05,7.16
3.10,2.68
7.04,3.58
3.02,0.75
2.59,0.47
10.77,6.65
11.40,8.33
7.06,3.93
11.45,7.24
7.38,5.27
7.22,2.17
9.16,5.27
11.37,8.89
7.84,4.04
11.80,8.97
-2.30,-3.91
12.03,6.68
6.12,4.42
7.25,3.23
7.99,4.44
0.28,-1.96
8.97,3.48
8.06,5.25
11.78,8.70
3.59,2.56
2.54,1.67
4.88,2.61
11.17,6.97
